schedule_team,market_team,aliases
DR Congo,Congo DR,Congo DR|Democratic Republic of the Congo|DRC
Bosnia and Herzegovina,Bosnia-Herzegovina,Bosnia Herzegovina|Bosnia & Herzegovina
Curacao,Curaçao,Curaçao
USA,USA,United States|United States of America|US
Cabo Verde,Cape Verde,Cape Verde Islands
Ivory Coast,Ivory Coast,Cote d'Ivoire|Côte d'Ivoire
Turkiye,Turkiye,Turkey
South Korea,South Korea,Korea Republic|Korea|Republic of Korea
Czechia,Czechia,Czech Republic
Scotland,Scotland,
England,England,
France,France,
Spain,Spain,
Portugal,Portugal,
Germany,Germany,
Argentina,Argentina,
Brazil,Brazil,
Netherlands,Netherlands,Holland
Austria,Austria,
Jordan,Jordan,
Croatia,Croatia,
Ghana,Ghana,
Panama,Panama,
Colombia,Colombia,
Uzbekistan,Uzbekistan,
Switzerland,Switzerland,
Canada,Canada,
Qatar,Qatar,
Mexico,Mexico,
Australia,Australia,
Morocco,Morocco,
Haiti,Haiti,
Sweden,Sweden,
Paraguay,Paraguay,
Ecuador,Ecuador,
Japan,Japan,
Tunisia,Tunisia,
Saudi Arabia,Saudi Arabia,
Belgium,Belgium,
Iran,Iran,
Uruguay,Uruguay,
New Zealand,New Zealand,
Egypt,Egypt,
Norway,Norway,
Senegal,Senegal,
Algeria,Algeria,
Iraq,Iraq,
South Africa,South Africa,
